lambda	amp
802.290	0.853
802.443	0.836
802.596	0.821
802.749	0.808
802.902	0.799
803.055	0.788
803.208	0.774
803.360	0.770
803.513	0.769
803.666	0.767
803.818	0.757
803.971	0.750
804.123	0.736
804.276	0.712
804.428	0.689
804.581	0.673
804.733	0.660
804.886	0.645
805.038	0.638
805.190	0.640
805.343	0.647
805.495	0.648
805.647	0.647
805.799	0.651
805.951	0.651
806.103	0.657
806.255	0.663
806.407	0.663
806.559	0.668
806.711	0.674
806.863	0.679
807.015	0.685
807.167	0.692
807.318	0.702
807.470	0.716
807.622	0.723
807.773	0.724
807.925	0.721
808.076	0.720
808.228	0.724
808.379	0.720
808.531	0.716
808.682	0.714
808.834	0.715
808.985	0.713
809.136	0.702
809.288	0.690
809.439	0.684
809.590	0.679
809.741	0.676
809.892	0.670
810.043	0.660
810.194	0.658
810.345	0.658
810.496	0.657
810.647	0.651
810.798	0.642
810.949	0.636
811.100	0.628
811.250	0.617
811.401	0.602
811.552	0.597
811.702	0.597
811.853	0.598
812.004	0.592
812.154	0.584
812.305	0.571
812.455	0.558
812.606	0.541
812.756	0.519
812.906	0.494
813.057	0.474
813.207	0.465
813.357	0.457
813.507	0.453
813.657	0.450
813.807	0.443
813.958	0.436
814.108	0.425
814.258	0.413
814.408	0.397
814.557	0.388
814.707	0.383
814.857	0.380
815.007	0.377
815.157	0.379
815.307	0.379
815.456	0.380
815.606	0.379
815.755	0.378
815.905	0.376
816.055	0.371
816.204	0.365
816.354	0.357
816.503	0.352
816.652	0.351
816.802	0.354
816.951	0.354
817.100	0.350
817.250	0.345
817.399	0.341
817.548	0.337
817.697	0.332
817.846	0.330
817.995	0.326
818.144	0.322
818.293	0.316
818.442	0.311
818.591	0.307
818.740	0.302
818.889	0.300
819.037	0.298
819.186	0.294
819.335	0.284
819.483	0.279
819.632	0.280
819.781	0.278
819.929	0.280
820.078	0.279
820.226	0.278
820.375	0.273
820.523	0.272
820.671	0.269
820.820	0.267
820.968	0.266
821.116	0.268
821.264	0.271
821.413	0.274
821.561	0.276
821.709	0.276
821.857	0.277
822.005	0.279
822.153	0.275
822.301	0.272
822.449	0.267
822.597	0.262
822.744	0.261
822.892	0.262
823.040	0.260
823.188	0.259
823.335	0.260
823.483	0.261
823.630	0.258
823.778	0.254
823.926	0.250
824.073	0.246
824.221	0.239
824.368	0.234
824.515	0.231
824.663	0.229
824.810	0.226
824.957	0.222
825.104	0.220
825.252	0.216
825.399	0.209
825.546	0.204
825.693	0.200
825.840	0.194
825.987	0.188
